year,month,week,day,source,target,tweet_count,favorite_count
2022,11,47,26,djtimecroatia,dance,1,5
2022,11,47,26,djtimecroatia,dancechart,1,5
2022,11,47,26,djtimecroatia,deejay,28,140
2022,11,47,26,djtimecroatia,djtime,1,5
2022,11,47,26,djtimecroatia,djtimecroatia,29,145
2022,11,47,26,djtimecroatia,hotJay,28,140
2022,11,47,26,djtimecroatia,liveInTheMix,29,145
2022,11,47,26,djtimecroatia,new,1,5
2022,11,47,26,djtimecroatia,nowplaying,28,140
2022,11,47,26,djtimecroatia,radio,28,140
2022,11,47,26,djtimecroatia,sevek,1,5
2022,11,47,26,djtimecroatia,specialedition,1,5
2022,11,47,26,djtimecroatia,wePlayFirst,9,45
2022,11,47,26,golhr,anketa,1,2
2022,11,47,26,golhr,dalić,1,2
2022,11,47,26,golhr,daviscup,1,2
2022,11,47,26,golhr,delija,1,2
2022,11,47,26,golhr,golhr,11,22
2022,11,47,26,golhr,hrvatska,3,6
2022,11,47,26,golhr,ivanišević,1,2
2022,11,47,26,golhr,kanada,2,4
2022,11,47,26,golhr,katar,2,4
2022,11,47,26,golhr,maradona,1,2
2022,11,47,26,golhr,najtrenutak,1,2
2022,11,47,26,golhr,nogomet,9,18
2022,11,47,26,golhr,pfl,1,2
2022,11,47,26,golhr,saudijskaarabija,2,4
2022,11,47,26,golhr,tenis,1,2
2022,11,47,26,grdilicious,buckybarnes,1,1
2022,11,47,26,grdilicious,comicart,1,1
2022,11,47,26,grdilicious,comicbookcover,1,1
2022,11,47,26,grdilicious,comics,1,1
2022,11,47,26,grdilicious,digitalart,1,1
2022,11,47,26,grdilicious,drawing,1,1
2022,11,47,26,grdilicious,fanart,1,1
2022,11,47,26,grdilicious,grdi,1,1
2022,11,47,26,grdilicious,grdilicious,1,1
2022,11,47,26,grdilicious,lovrothesupernaut,1,1
2022,11,47,26,grdilicious,marvel,1,1
2022,11,47,26,grdilicious,supernautcosplay,1,1
2022,11,47,26,grdilicious,wintersoldier,1,1
2022,11,47,26,hajduk,Hajduk,2,144
2022,11,47,26,kkzadar,IgrajZadre,3,168
2022,11,47,26,punkuferhr,advent,1,1
2022,11,47,26,punkuferhr,bananakruh,1,1
2022,11,47,26,punkuferhr,hrvatska,1,1
2022,11,47,26,punkuferhr,mađarska,1,1
2022,11,47,26,punkuferhr,punkuferhr,3,3
2022,11,47,26,punkuferhr,recept,1,1
2022,11,47,26,punkuferhr,zanimljivosti,1,1
2022,11,47,26,ravnododna,makk,1,2
2022,11,47,26,ravnododna,ravnododna,1,2
2022,11,47,26,znatko,odgovor,1,0
2022,11,47,26,znatko,pitanje,1,0
2022,11,47,27,DuMotion,Dubrovnik,1,1
2022,11,47,27,DuMotion,halfmarathon,1,1
2022,11,47,27,DuMotion,runners,1,1
2022,11,47,27,ElonTravel,BeerTour,1,3
2022,11,47,27,ElonTravel,BoatTour,1,3
2022,11,47,27,ElonTravel,ChristmasMarkets,1,3
2022,11,47,27,ElonTravel,Copenhagen,1,3
2022,11,47,27,ElonTravel,CopenhagenIn5Minutes,1,3
2022,11,47,27,ElonTravel,DEN,1,3
2022,11,47,27,ElonTravel,FoodTour,1,3
2022,11,47,27,ElonTravel,Nyhavn,1,3
2022,11,47,27,ElonTravel,Ströget,1,3
2022,11,47,27,ElonTravel,TastingCopenhagen,1,3
2022,11,47,27,ElonTravel,TivoliChristmas,1,3
2022,11,47,27,ElonTravel,TivoliCph,1,3
2022,11,47,27,ElonTravel,TivoliGardens,1,3
2022,11,47,27,ElonTravel,travelvideos,1,3
2022,11,47,27,LikeZadar,AdventZadar,1,12
2022,11,47,27,LikeZadar,FeelZadar,1,12
2022,11,47,27,LikeZadar,LikeZadar,1,12
2022,11,47,27,RitamBalkana,AlenSakic,1,0
2022,11,47,27,RitamBalkana,CrniCerak,1,0
2022,11,47,27,RitamBalkana,KucKucKuc,1,0
2022,11,47,27,RitamBalkana,RitamBalkana,1,0
2022,11,47,27,RitamBalkana,RitamBalkanaCom,1,0
2022,11,47,27,RitamBalkana,balkan,1,0
2022,11,47,27,RitamBalkana,balkanmuzika,1,0
2022,11,47,27,RitamBalkana,glazba,1,0
2022,11,47,27,RitamBalkana,muzickanumera,1,0
2022,11,47,27,RitamBalkana,muzika,1,0
2022,11,47,27,RitamBalkana,novapesma,1,0
2022,11,47,27,RitamBalkana,novapjesma,1,0
2022,11,47,27,RitamBalkana,novisingl,1,0
2022,11,47,27,VozdeCroacia,Canada,4,108
2022,11,47,27,VozdeCroacia,Croacia,5,135
2022,11,47,27,VozdeCroacia,Croatasenelmundo,1,27
2022,11,47,27,VozdeCroacia,Doha,1,27
2022,11,47,27,VozdeCroacia,MundialQatar2022,1,27
2022,11,47,27,VozdeCroacia,Vatreni,2,54
2022,11,47,27,VozdeCroacia,VozdeCroacia,1,27
2022,11,47,27,VozdeCroacia,croatas,1,27
2022,11,47,27,VozdeCroacia,croatasdelatinoamerica,1,27
2022,11,47,27,VozdeCroacia,croatasenargentina,1,27
2022,11,47,27,VozdeCroacia,croatasenchile,1,27
2022,11,47,27,VozdeCroacia,lavozdecroacia,1,27
2022,11,47,27,VozdeCroacia,mundial2022,1,27
2022,11,47,27,VozdeCroacia,vozdecroacia,1,27
2022,11,47,27,ZagrebFacts,ZagrebFacts,1,11
2022,11,47,27,agroklub,Rješenja,1,2
2022,11,47,27,agroklub,agroklub,8,16
2022,11,47,27,agroklub,dobit,1,2
2022,11,47,27,agroklub,energija,1,2
2022,11,47,27,agroklub,hrana,3,6
2022,11,47,27,agroklub,kako,1,2
2022,11,47,27,agroklub,kombiniram,1,2
2022,11,47,27,agroklub,kukci,1,2
2022,11,47,27,agroklub,pazi,1,2
2022,11,47,27,agroklub,poljoprivreda,1,2
2022,11,47,27,agroklub,povrćarstvo,1,2
2022,11,47,27,agroklub,povrće,1,2
2022,11,47,27,agroklub,savjet,1,2
2022,11,47,27,agroklub,seminar,1,2
2022,11,47,27,agroklub,traktor,1,2
2022,11,47,27,agroklub,vino,1,2
2022,11,47,27,agroklub,vinograd,1,2
2022,11,47,27,agroklub,zarada,1,2
2022,11,47,27,agroklub,čuvanjehrane,1,2
2022,11,47,27,agroklub,šuma,1,2
