user_id,username,tweets_collectted_at,location,followers,friends,statuses,last_time_check,failed
2995948396,1c7ebd6512424e5,2020-11-27 12:58:03.303732,Republic of Croatia,5,22,7,-1,False
556312432,1d_name,2020-11-27 12:58:04.616951,Croatia,11,44,409,-1,False
326203388,1dforeveromgyes,2020-11-27 12:58:06.952494,Croatia,66,0,307,-1,False
2218629968,1directioncro1,2020-11-27 12:58:08.169481,CROATIA,253,487,787,-1,False
3065603020,1eb4c6b3370c4a3,2020-11-27 12:58:09.318934,Vinkovci,11,78,35,2020-11-18 05:29:20.349204,False
4829699693,1elitkill,2020-11-27 12:58:10.357117,Republic of Croatia,14,90,17,-1,False
3350850166,1hnl,2020-11-27 12:58:14.373056,Hrvatska | Croatia,4540,19,3206,-1,False
171893067,1hubabuba,2020-11-27 12:58:15.404377,Croatia,24,161,13,-1,False
204729038,1nOnlyScientist,2020-11-27 12:58:18.038653,Croatia,105,268,1643,-1,False
3910666943,1pozoj,2020-11-27 12:58:19.489658,Republic of Croatia,37,161,185,-1,False
1219933919191228416,1realredrose,2020-11-27 12:58:21.046640,Republic of Croatia,8,96,17,-1,False
149068304,1suky1,2020-11-27 12:58:26.088722,Zagreb,692,441,4642,-1,False
903822188,1veeez,2020-11-27 12:58:27.430728,Croatia,34,227,1607,-1,False
273486499,1x2balkan,2020-11-27 12:58:28.357017,Croatia,20,8,0,-1,False
234490854,1zaynswife,2020-11-27 12:58:29.696151,Croatia,110,165,271,-1,False
3310877621,2002Bosnjak,2020-11-27 12:58:31.802780,Republic of Croatia,3,60,0,-1,False
545818739,2002_monroe,2020-11-27 12:58:32.840681,zagreb,11,49,19,-1,False
836982182275125120,2017Nebf,2020-11-27 12:58:33.909438,Zagreb ,17,53,28,-1,False
852539144,20Josipa,2020-11-27 12:58:34.883663,"Osijek, Croatia",150,800,8,-1,False
3565596262,20_ante,2020-11-02 23:48:55.440367,Republic of Croatia,7,149,2,2020-10-08 10:43:38.588446,False
2908367231,20apr2010,2020-11-03 00:18:40.952977,Zagreb,251,316,925,2020-10-18 12:45:59.257541,False
1157330874,2101Ivan,2020-11-27 12:58:35.838793,Zagreb,1,8,4,2020-11-16 20:08:28.306315,False
3289929226,21centuryg95,2020-11-27 12:58:38.177585,Republic of Croatia,18,68,21,-1,False
1269781671349571584,21danijel21,-1,Republic of Croatia,1,52,0,-1,False
2847204400,222Mijo,2020-11-27 12:58:41.147408,Sesvete ,12,41,4,-1,False
340532958,22Klara,2020-11-27 12:58:42.110842,Croatia,17,123,1,-1,False
632777084,2310_rose,2020-11-27 12:58:45.940085,Croatia,12,72,208,-1,False
1045412448,2311miki3110,-1,Republic of Croatia,33,460,14,2020-10-16 22:06:29.629846,True
1621448006,234_petra,2020-11-27 12:58:47.067063,Croatia,5,35,2,-1,False
854246895484534784,23Crtalic,2020-11-27 12:58:48.034733,Republic of Croatia,1,20,1,-1,False
1696319412,23_ivanchica,-1,Croatia,6,98,46,-1,True
2909578390,23daa4f089bd4b7,2020-11-27 12:58:48.957726,Zagreb ,2,22,0,-1,False
2395956032,244directioner,2020-11-27 12:58:50.460734,Croatia,100,582,201,-1,False
3218439755,24ca1560a6cf428,2020-11-27 12:58:51.498168,Republic of Croatia,5,133,2,-1,False
2383390016,24maja_,2020-11-27 12:58:52.926806,Croatia,116,289,1725,-1,False
3422987849,24zlatica,2020-11-27 12:58:56.859838,Republic of Croatia,5,70,1138,-1,False
3231465213,2564f96030814e0,2020-11-27 12:58:57.805964,Republic of Croatia,1,3,0,-1,False
3047228167,25ecbd09259e411,2020-11-27 12:58:59.383308,Republic of Croatia,13,30,17,-1,False
2766668293,2710_nutella,-1,Republic of Croatia,395,109,12,-1,False
468437747,27_tena,2020-11-27 12:59:02.460999,Croatia,6,73,5,-1,False
768767890577297408,27t8rt23,-1,Republic of Croatia,4,187,0,-1,True
3296085570,2804_ida,2020-11-27 12:59:03.528144,Republic of Croatia,31,302,10,-1,False
48286302,28Sime05,2020-11-27 12:59:06.072183,Zaprešić,9,20,0,-1,False
1320364453,28Zelenizajedno,2020-11-27 12:59:08.271655,zagreb,67,168,49,-1,False
2908275700,293gabriella,2020-11-27 12:59:09.347286,Croatia ,7,118,5,2020-11-15 21:49:36.981268,False
43686656,2Dalibor2,2020-11-27 12:59:10.732879,Zagreb,2,19,27,-1,False
3008426327,2DsUwU,-1,Croatia,15,234,192,-1,True
2224653373,2Girls_1Brush,2020-11-27 12:59:12.040963,"Zagreb, Croatia",224,1094,194,-1,False
1671663620,2Gordan2Furious,-1,Croatia,58,130,2170,-1,True
808092986567524352,2IslandsTravel2,2020-11-27 12:59:13.118900,Republic of Croatia,20,53,13,-1,False
517931422,2MGmail,2020-11-27 12:59:14.098745,Rijeka,7,1,0,-1,False
463095986,2Muskarcai1Zena,2020-11-27 12:59:16.188191,Zagreb,21,49,65,-1,False
190782475,2N_Studio,2020-11-27 03:49:03.263582,Dubrovnik,7817,7011,15,2020-10-24 07:49:44.235784,False
3127113146,2a35e6a2a8e5465,2020-11-27 12:59:17.162522,Republic of Croatia,17,137,4,-1,False
3228740423,2ad270aa23e643e,2020-11-27 12:59:18.057079,Republic of Croatia,7,121,0,-1,False
2999907674,2b21526e6f5c45e,2020-11-27 12:59:19.011683,Zadar,2,16,1,-1,False
3022319782,2c02c1605f6a451,2020-11-27 12:59:20.182635,Republic of Croatia,35,246,92,-1,False
1245274731181375488,2croamtrdicks,2020-11-27 12:59:23.276512,Croatia,1742,138,134,-1,False
2732575564,2e62b1454dc643d,2020-11-27 12:59:29.719856,Republic of Croatia,10,125,514,-1,False
3397656106,2eatdifferent,2020-11-27 12:59:30.915849,Republic of Croatia,93,217,69,-1,False
899179936367480832,2gbbon1,2020-11-27 12:59:31.881953,Republic of Croatia,11,319,0,-1,False
103634169,2luckym,2020-11-27 12:59:32.847949,Zagreb,1,1,3,-1,False
1028353346,2osbj,2020-11-27 12:59:34.269289,Bjelovar,95,121,177,-1,False
15155358,2pebbles,2020-11-27 02:53:59.063894,Zagreb,305,593,406,2020-10-22 01:45:31.894996,False
193266911,2simpe,2020-11-27 12:59:35.515735,"Zagreb, Croatia",31,0,22,-1,False
747881131148709760,2vileivili,2020-11-27 12:59:36.434889,Republic of Croatia,10,47,0,-1,False
813322640807043072,30Gunmen,2020-11-27 12:59:39.663830,Osijek,3,30,2,-1,False
239386089,318e30,-1,Croatia,56,137,3176,-1,True
893080455645458432,31luka10,-1,Republic of Croatia,76,48,418,-1,False
